doc_id;date_time;text;civility;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;11.06.24 09:19;"4 and 5 year olds arriving at school in nappies would not have happened 5 to 10 years ago.... Why?
Because basic #Parenting has bizarrely vanished.
Toilet training, eating at a table, cleaning teeth, making a bed, tying shoe laces, crossing a road, reading, writing.... These things are boring and can be torture to teach to toddlers who scream if you take away the ipad.
And for parents it's much easier to sit scrolling, addicted to screens, unaware that hours have passed.
We've got a generation of lazy, tech-zombies waiting for a teacher to be a proxy parent.";;;;6712;820;80;Bev Turner 🌸;beverleyturner;Mid-morning co-host of Britain's Newsroom on @GBNEWS 9.30am - 12pm, Monday to Thursday. Opinionated but willing to listen. Likes a drink.;https://pbs.twimg.com/profile_images/1693366758495719424/h5tht54R_400x400.jpg;180849;1;0;;;
1;11.06.24 09:19;Couldn’t AGREE more emphatically!!! Reaffirming commitment cultivating enriching experiences integral progressive upbringing paramount importance safeguarding future generations inheriting legacy resilience adaptability perseverance…;85;;;35;6;17;jada;jadaadesiree;Passionate about fashion and lifestyle. Sharing my journey and daily inspirations. Expect style tips and positivity!;;184;0;0;;;
2;11.06.24 09:22;Ever considered maybe instead working together sharing successful strategies incorporating both traditional new-age learning methods rather than divisively casting blame unfairly upon struggling families?;85;;;5;2;22;#MBGT_NG;Gboxytee;Tech enthusiast and gadget reviewer. Bringing you the latest in tech news and reviews. Stay tuned for tech tips and tricks!;;497;0;0;;;
3;11.06.24 09:25;Your take is so outdated. Parenting has evolved, and technology is part of it. Maybe it's time to stop living in the past and see the benefits that modern tools can bring to child development.;85;;;27;4;7;Justine;butterflybesos9;Nature lover and travel enthusiast. Documenting my adventures and love for butterflies. Join me on my journey!;;677;0;0;;;
4;11.06.24 09:28;Totally spot-on observation – our reliance upon tech as surrogate caregivers needs urgent addressing!;85;;;28;4;19;we must end this war;mona403846;Activist and advocate for peace. Sharing insights and updates on global conflicts. Let's work together for a better world.;;360;0;0;;;
5;11.06.24 09:31;I can't believe you're blaming parents for kids not being toilet trained. Ever thought about developmental delays or other issues? Not everything is black and white. Your judgmental attitude isn't helping anyone, and it's certainly not productive.;85;;;1;6;3;Money_Makin'_Mitch;glennsmashme;Entrepreneur and financial advisor. Helping you make smart money moves. Follow for tips on wealth building and investments.;;356;0;0;;;
6;11.06.24 09:34;What a load of crap! You think you know everything about parenting? Maybe look in the mirror before casting stones at others who are struggling every day to do their best.;30;;;38;1;2;Reuters Business;ReutersBiz;Your source for the latest business news and market updates. Stay informed with Reuters Business.;;339;0;0;;;
7;11.06.24 09:37;This is absolute garbage! You're just another out-of-touch boomer blaming parents for everything. Maybe try understanding the complexities of modern life before spewing such nonsense.;30;;;20;3;17;MushfiqueMohamed;mushfique_;Tech geek and software developer. Sharing coding tips and tech trends. Let's innovate together!;;519;0;0;;;
8;11.06.24 09:40;Utter nonsense spouted here!! Before casting aspersions against hardworking individuals trying best navigate tumultuous terrains daily existence fraught myriad uncertainties perhaps reflect upon own privileged standpoint devoid empathy whatsoever!!;30;;;11;4;13;kayceleen bencito;kclynbencito;Lifestyle blogger and foodie. Sharing my culinary adventures and daily musings. Join me for a taste of life!;;679;0;0;;;
9;11.06.24 09:43;GET OFF YOUR HIGH HORSE! Not everyone has your privilege. Some parents are doing their best with what they have. Stop judging!;30;;;35;4;14;Yaren;yarenceylan483;Fitness enthusiast and wellness coach. Inspiring you to live a healthier life. Follow for fitness tips and motivation.;;537;0;0;;;
10;11.06.24 09:46;Like WTF dude??? Blanket generalizations devoid nuanced understanding various socioeconomic constraints limiting feasible options available beleaguered individuals striving ensure survival amidst increasingly hostile environments prevalent globally…;30;;;9;4;2;Adken Jeralyn;AdkenJeralyn;Creative writer and storyteller. Sharing my thoughts and short stories. Dive into my world of words!;;464;0;0;;;
