"session_code","participant_code","participant_label","participant_time_started_utc","touch_capability","device_type","condition","tweet","displayed_sequence","seconds_in_viewport","scroll_sequence","liked","reply","hasReply"
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",21,1,19.1,"1",FALSE,"It also reminds me of Hurricane Harvey",TRUE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",22,2,15.719,"2,8,9",TRUE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",23,3,26.635,"3,7,10",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",24,4,9.432,"4,6,11",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",25,5,11.334,"5,12",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",26,6,2.199,"13",TRUE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",27,7,6.707,"14",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",28,8,2.651,"15",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",29,9,0.033,"16",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",30,10,NA,NA,TRUE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",31,11,4.932,"17,19,20",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",32,12,6.368,"18,21",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",33,13,1.266,"22,34,35",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",34,14,3.335,"23,33,36",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",35,15,0.95,"24,32,37",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",36,16,0.262,"25,31,38",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",37,17,NA,NA,FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",38,18,3.232,"26,30,39",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",39,19,1.385,"27,29,40",FALSE,"",FALSE
"4512qptb","015j0oj8","663cd016b337fae7fec7e7fd","2024-05-09 20:59:56",0,"Desktop","unsafe",40,20,4.465,"28",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",21,1,39.32,"1",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",22,2,19.58,"2",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",23,3,28.872,"3",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",24,4,15.805,"4",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",25,5,77.075,"5",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",26,6,12.142,"6,8",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",27,7,27.351,"7,9",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",28,8,53.145,"10",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",29,9,27.257,"11",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",30,10,23.38,"12",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",31,11,10.189,"13",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",32,12,11.153,"14",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",33,13,72.488,"15",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",34,14,6.593,"16",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",35,15,10.572,"17",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",36,16,19.731,"18",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",37,17,7.887,"19",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",38,18,16.149,"20",TRUE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",39,19,7.271,"21",FALSE,"",FALSE
"4512qptb","067yy3hl","6634fbaa34b0a722c13accba","2024-05-09 21:01:36",0,"Desktop","unsafe",40,20,NA,NA,TRUE,"",FALSE
"4512qptb","06dd0k24","5a188836087f2e0001eaf744","2024-05-09 21:20:39",0,"Tablet","unsafe",21,1,24.737,"1",FALSE,"",FALSE
"4512qptb","06dd0k24","5a188836087f2e0001eaf744","2024-05-09 21:20:39",0,"Tablet","unsafe",22,2,24.999,"2,3",FALSE,"",FALSE
"4512qptb","06dd0k24","5a188836087f2e0001eaf744","2024-05-09 21:20:39",0,"Tablet","unsafe",23,3,13.097,"4",FALSE,"",FALSE
"4512qptb","06dd0k24","5a188836087f2e0001eaf744","2024-05-09 21:20:39",0,"Tablet","unsafe",24,4,34.184,"5",FALSE,"",FALSE
"4512qptb","06dd0k24","5a188836087f2e0001eaf744","2024-05-09 21:20:39",0,"Tablet","unsafe",25,5,25.023,"6",FALSE,"",FALSE
