StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,uncued_recall,cued_recall,brand_att_1,brand_att_2,brand_att_3,otf,flood_awareness,issues,issues_2_TEXT,PROLIFIC_PID,useragent,city,state,postalcode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your Prolific ID?
You may notice that this response field auto-fills with an ID. This should be your personal Prolific ID.

Feel free to adjust it in case you spot an error.",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be. - Selected Choice,Choose one or more races that you consider yourself to be. - Other - Text,"Please list any brands from which you recall having seen an ad in the social media feed you have just browsed.

(If you recall multiple ads, please comma-separate your answer, i.e., ""brand x, organization y, ..."". Type ""n/a"" if you don't recall any ads.)","Please select the brands in the list below from which you recall seeing an ad (i.e., sponsored post) in the feed.","For each pair of adjectives, please select the number that best represents your attitude towards the brand KLM. - Dislike:Like","For each pair of adjectives, please select the number that best represents your attitude towards the brand KLM. - Unfavorable:Favorable","For each pair of adjectives, please select the number that best represents your attitude towards the brand KLM. - Negative:Positive","Please use the box below to share your thoughts about the social media feed you just browsed (e.g.,  any aspects you particularly liked or disliked).","Before starting this survey, were you aware of the recent severe flooding affecting southern Brazil, including the state of Rio Grande do Sul and its capital, Porto Alegre?","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Selected Choice","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Yes: - Text",PROLIFIC_PID,useragent,city,state,postalcode
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_6_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_2_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""useragent""}","{""ImportId"":""city""}","{""ImportId"":""state""}","{""ImportId"":""postalcode""}"
2024-08-15 14:36:46,2024-08-15 14:38:12,IP Address,130.82.27.56,100,85,True,2024-08-15 14:38:13,R_8laEYSjoEIP6Jyq,,,,,47.4338,9.3612,anonymous,EN,TEST 62f254d1302f54a03e9e7671 TEST,33,Male,,White or Caucasian,,KLM,KLM,3,5,1,"nothing to say reallllllllly ","Yes, I was fully aware of the floods in southern Brazil.",No,,62f254d1302f54a03e9e7671,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",St. Gallen,SG,9000
2024-08-15 17:43:14,2024-08-15 17:45:11,IP Address,73.218.198.154,100,117,True,2024-08-15 17:45:12,R_5OZ4JbT4MCDLadb,,,,,42.6283,-71.3311,anonymous,EN,60f6cbe36e82179b2ff5b808,42,Female,,White or Caucasian,,n/a,I do not recall any sponsored posts,4,4,4,Seeing all of the flooding was what I was focused on. Very sad to see what the area endured and what people are going through. Any ads for travel I didn't pay much attention to.,"No, I was not aware of any flooding in Brazil before this survey.",No,,60f6cbe36e82179b2ff5b808,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",Lakeville,MA,02347
2024-08-15 17:44:53,2024-08-15 17:46:53,IP Address,72.213.104.135,100,120,True,2024-08-15 17:46:54,R_33V6Q0LjQMplM7A,,,,,32.5938,-83.642,anonymous,EN,66bdfdb87bd05303ac6e60b7,34,Female,,Black or African American,,N/a,"Nike,Shopify",5,4,7,"It is more artist that Brazil are familiar but still very interesting ","Yes, I was fully aware of the floods in southern Brazil.",No,,66bdfdb87bd05303ac6e60b7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Warner Robins,GA,31088
2024-08-15 17:46:58,2024-08-15 17:48:47,IP Address,108.201.64.121,100,109,True,2024-08-15 17:48:48,R_3PdrH9RdaKnZwTW,,,,,33.1575,-96.4949,anonymous,EN,663ec0ebbb803aa2f8c5ea7b,31,Female,,White or Caucasian,,"a travel company, do not remember the name",I do not recall any sponsored posts,4,4,4,"The social media feed was about the floods in Brazil, with a lot of tweets asking for donations","No, I was not aware of any flooding in Brazil before this survey.",No,,663ec0ebbb803aa2f8c5ea7b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Princeton,TX,75407
2024-08-15 17:45:05,2024-08-15 17:49:16,IP Address,166.137.83.36,100,250,True,2024-08-15 17:49:16,R_5IRGdLRyaCSeajg,,,,,37.751,-97.822,anonymous,EN,60fa3897412a3b9106117614,31,Female,,White or Caucasian,,I saw an ad about how a porcupine looks,I do not recall any sponsored posts,4,4,4,"I have no opinion really ","No, I was not aware of any flooding in Brazil before this survey.",No,,60fa3897412a3b9106117614,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/123.0.6312.52 Mobile/15E148 Safari/604.1",,,
2024-08-15 17:47:52,2024-08-15 17:50:01,IP Address,35.140.96.77,100,128,True,2024-08-15 17:50:01,R_1WGHWf5mIscp2kV,,,,,28.0239,-82.7265,anonymous,EN,66bb452fd838059e9e3d0462,32,Female,,Other,hispanic,Fortnite. Travel agency,KLM,6,6,6,There was a lot of the same,"No, I was not aware of any flooding in Brazil before this survey.",No,,66bb452fd838059e9e3d0462,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5.1 Safari/605.1.15",Clearwater,FL,33761
2024-08-15 17:52:41,2024-08-15 17:53:50,IP Address,68.10.243.247,100,68,True,2024-08-15 17:53:52,R_6ROlSMzzHCrqoAa,,,,,36.7969,-76.1797,anonymous,EN,630cac011e5fa37e63576964,41,Male,,White or Caucasian,,n/a,I do not recall any sponsored posts,4,4,4,"I didn't really have strong feelings either way. ","No, I was not aware of any flooding in Brazil before this survey.",No,,630cac011e5fa37e63576964,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36",Virginia Beach,VA,23464
2024-08-15 17:52:46,2024-08-15 17:55:13,IP Address,66.181.219.248,100,146,True,2024-08-15 17:55:14,R_7bVNF6CuFlHNTAR,,,,,38.9403,-90.7749,anonymous,EN,66a8411c5b9dc895b6632192,39,Female,,White or Caucasian,,N/A,I do not recall any sponsored posts,4,4,4,I liked reading about Madonna's concert and seeing pictures such as the bird.,"No, I was not aware of any flooding in Brazil before this survey.",No,,66a8411c5b9dc895b6632192,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",Old Monroe,MO,63369
