session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
v3bjin1m,700,efhnz8mx,0,,InitializeParticipant,1723709240,1,0,0
v3bjin1m,700,efhnz8mx,1,DICE,A_Intro,1723709251,1,0,0
v3bjin1m,700,efhnz8mx,2,DICE,B_Briefing,1723709256,1,0,0
v3bjin1m,699,frwzl1vd,0,,InitializeParticipant,1723709403,1,0,0
v3bjin1m,699,frwzl1vd,1,DICE,A_Intro,1723709406,1,0,0
v3bjin1m,699,frwzl1vd,2,DICE,B_Briefing,1723709409,1,0,0
4t8ytk9w,1,xrpnv9xb,0,,InitializeParticipant,1723709725,1,0,0
4t8ytk9w,1,xrpnv9xb,1,DICE,A_Intro,1723709727,1,0,0
4t8ytk9w,2,2llipkxd,0,,InitializeParticipant,1723709778,1,0,0
4t8ytk9w,2,2llipkxd,1,DICE,A_Intro,1723709780,1,0,0
znxhaqcq,700,ic99mv15,0,,InitializeParticipant,1723710277,1,0,0
znxhaqcq,699,3eg5e845,0,,InitializeParticipant,1723710278,1,0,0
znxhaqcq,700,ic99mv15,1,DICE,A_Intro,1723710282,1,0,0
znxhaqcq,700,ic99mv15,2,DICE,B_Briefing,1723710285,1,0,0
znxhaqcq,699,3eg5e845,1,DICE,A_Intro,1723710352,1,0,0
znxhaqcq,699,3eg5e845,2,DICE,B_Briefing,1723710354,1,0,0
znxhaqcq,1,lckznzkl,0,,InitializeParticipant,1723725361,1,0,0
znxhaqcq,1,lckznzkl,1,DICE,A_Intro,1723725365,1,0,0
znxhaqcq,1,lckznzkl,2,DICE,B_Briefing,1723725366,1,0,0
znxhaqcq,1,lckznzkl,3,DICE,C_Feed,1723725403,1,0,0
znxhaqcq,2,8nvcdcl7,0,,InitializeParticipant,1723736407,1,0,0
znxhaqcq,2,8nvcdcl7,1,DICE,A_Intro,1723736416,1,0,0
znxhaqcq,2,8nvcdcl7,2,DICE,B_Briefing,1723736433,1,0,0
znxhaqcq,2,8nvcdcl7,3,DICE,C_Feed,1723736590,1,0,0
znxhaqcq,3,s6t0dv2e,0,,InitializeParticipant,1723736600,1,0,0
znxhaqcq,4,7lpspjta,0,,InitializeParticipant,1723736639,1,0,0
znxhaqcq,4,7lpspjta,1,DICE,A_Intro,1723736646,1,0,0
znxhaqcq,4,7lpspjta,2,DICE,B_Briefing,1723736649,1,0,0
znxhaqcq,5,pj7lv4m7,0,,InitializeParticipant,1723736653,1,0,0
znxhaqcq,5,pj7lv4m7,1,DICE,A_Intro,1723736659,1,0,0
znxhaqcq,3,s6t0dv2e,1,DICE,A_Intro,1723736661,1,0,0
znxhaqcq,5,pj7lv4m7,2,DICE,B_Briefing,1723736663,1,0,0
znxhaqcq,6,h9t21ej0,0,,InitializeParticipant,1723736664,1,0,0
znxhaqcq,6,h9t21ej0,1,DICE,A_Intro,1723736672,1,0,0
znxhaqcq,3,s6t0dv2e,2,DICE,B_Briefing,1723736672,1,0,0
znxhaqcq,6,h9t21ej0,2,DICE,B_Briefing,1723736688,1,0,0
znxhaqcq,5,pj7lv4m7,3,DICE,C_Feed,1723736689,1,0,0
znxhaqcq,3,s6t0dv2e,3,DICE,C_Feed,1723736701,1,0,0
znxhaqcq,4,7lpspjta,3,DICE,C_Feed,1723736815,1,0,0
znxhaqcq,6,h9t21ej0,3,DICE,C_Feed,1723736868,1,0,0
znxhaqcq,7,qrwyknzi,0,,InitializeParticipant,1723736981,1,0,0
znxhaqcq,7,qrwyknzi,1,DICE,A_Intro,1723736987,1,0,0
znxhaqcq,7,qrwyknzi,2,DICE,B_Briefing,1723736997,1,0,0
znxhaqcq,8,2l5as7vz,0,,InitializeParticipant,1723737109,1,0,0
znxhaqcq,8,2l5as7vz,1,DICE,A_Intro,1723737120,1,0,0
znxhaqcq,8,2l5as7vz,2,DICE,B_Briefing,1723737125,1,0,0
znxhaqcq,9,oizbn54n,0,,InitializeParticipant,1723737131,1,0,0
znxhaqcq,8,2l5as7vz,3,DICE,C_Feed,1723737158,1,0,0
znxhaqcq,7,qrwyknzi,3,DICE,C_Feed,1723737162,1,0,0
znxhaqcq,9,oizbn54n,1,DICE,A_Intro,1723737176,1,0,0
znxhaqcq,9,oizbn54n,2,DICE,B_Briefing,1723737185,1,0,0
znxhaqcq,10,ino7x0m4,0,,InitializeParticipant,1723737194,1,0,0
znxhaqcq,10,ino7x0m4,1,DICE,A_Intro,1723737203,1,0,0
znxhaqcq,10,ino7x0m4,2,DICE,B_Briefing,1723737207,1,0,0
znxhaqcq,11,p932uub6,0,,InitializeParticipant,1723737226,1,0,0
znxhaqcq,12,xxziq21m,0,,InitializeParticipant,1723737232,1,0,0
znxhaqcq,11,p932uub6,1,DICE,A_Intro,1723737232,1,0,0
znxhaqcq,11,p932uub6,2,DICE,B_Briefing,1723737236,1,0,0
znxhaqcq,12,xxziq21m,1,DICE,A_Intro,1723737239,1,0,0
znxhaqcq,12,xxziq21m,2,DICE,B_Briefing,1723737244,1,0,0
znxhaqcq,13,wlllafe4,0,,InitializeParticipant,1723737257,1,0,0
znxhaqcq,10,ino7x0m4,3,DICE,C_Feed,1723737260,1,0,0
znxhaqcq,13,wlllafe4,1,DICE,A_Intro,1723737263,1,0,0
znxhaqcq,14,ep2uaa0j,0,,InitializeParticipant,1723737267,1,0,0
znxhaqcq,13,wlllafe4,2,DICE,B_Briefing,1723737270,1,0,0
znxhaqcq,14,ep2uaa0j,1,DICE,A_Intro,1723737273,1,0,0
znxhaqcq,11,p932uub6,3,DICE,C_Feed,1723737273,1,0,0
znxhaqcq,14,ep2uaa0j,2,DICE,B_Briefing,1723737277,1,0,0
znxhaqcq,15,3qi4wzq6,0,,InitializeParticipant,1723737290,1,0,0
znxhaqcq,15,3qi4wzq6,1,DICE,A_Intro,1723737298,1,0,0
znxhaqcq,16,4z6jhhcj,0,,InitializeParticipant,1723737299,1,0,0
znxhaqcq,17,en7jr1wo,0,,InitializeParticipant,1723737304,1,0,0
znxhaqcq,16,4z6jhhcj,1,DICE,A_Intro,1723737308,1,0,0
znxhaqcq,15,3qi4wzq6,2,DICE,B_Briefing,1723737310,1,0,0
znxhaqcq,17,en7jr1wo,1,DICE,A_Intro,1723737312,1,0,0
znxhaqcq,16,4z6jhhcj,2,DICE,B_Briefing,1723737314,1,0,0
znxhaqcq,12,xxziq21m,3,DICE,C_Feed,1723737323,1,0,0
znxhaqcq,17,en7jr1wo,2,DICE,B_Briefing,1723737327,1,0,0
znxhaqcq,9,oizbn54n,3,DICE,C_Feed,1723737343,1,0,0
znxhaqcq,18,nqbxrop2,0,,InitializeParticipant,1723737344,1,0,0
znxhaqcq,19,q6zlvmkd,0,,InitializeParticipant,1723737352,1,0,0
znxhaqcq,19,q6zlvmkd,1,DICE,A_Intro,1723737356,1,0,0
znxhaqcq,19,q6zlvmkd,2,DICE,B_Briefing,1723737362,1,0,0
znxhaqcq,15,3qi4wzq6,3,DICE,C_Feed,1723737368,1,0,0
znxhaqcq,16,4z6jhhcj,3,DICE,C_Feed,1723737383,1,0,0
znxhaqcq,13,wlllafe4,3,DICE,C_Feed,1723737401,1,0,0
znxhaqcq,14,ep2uaa0j,3,DICE,C_Feed,1723737413,1,0,0
znxhaqcq,19,q6zlvmkd,3,DICE,C_Feed,1723737426,1,0,0
znxhaqcq,20,3gdjxpbl,0,,InitializeParticipant,1723737436,1,0,0
znxhaqcq,20,3gdjxpbl,1,DICE,A_Intro,1723737442,1,0,0
znxhaqcq,20,3gdjxpbl,2,DICE,B_Briefing,1723737446,1,0,0
znxhaqcq,21,rznvu24f,0,,InitializeParticipant,1723737474,1,0,0
znxhaqcq,21,rznvu24f,1,DICE,A_Intro,1723737481,1,0,0
znxhaqcq,21,rznvu24f,2,DICE,B_Briefing,1723737492,1,0,0
znxhaqcq,22,swjlyal3,0,,InitializeParticipant,1723737499,1,0,0
znxhaqcq,22,swjlyal3,1,DICE,A_Intro,1723737504,1,0,0
znxhaqcq,22,swjlyal3,2,DICE,B_Briefing,1723737509,1,0,0
znxhaqcq,17,en7jr1wo,3,DICE,C_Feed,1723737509,1,0,0
znxhaqcq,20,3gdjxpbl,3,DICE,C_Feed,1723737533,1,0,0
znxhaqcq,18,nqbxrop2,1,DICE,A_Intro,1723737541,1,0,0
znxhaqcq,18,nqbxrop2,2,DICE,B_Briefing,1723737548,1,0,0
znxhaqcq,21,rznvu24f,3,DICE,C_Feed,1723737577,1,0,0
znxhaqcq,23,naed4shc,0,,InitializeParticipant,1723737584,1,0,0
znxhaqcq,23,naed4shc,1,DICE,A_Intro,1723737591,1,0,0
znxhaqcq,23,naed4shc,2,DICE,B_Briefing,1723737594,1,0,0
znxhaqcq,23,naed4shc,3,DICE,C_Feed,1723737691,1,0,0
znxhaqcq,18,nqbxrop2,3,DICE,C_Feed,1723737739,1,0,0
znxhaqcq,24,zc7r49id,0,,InitializeParticipant,1723737739,1,0,0
znxhaqcq,25,ml862ib1,0,,InitializeParticipant,1723737834,1,0,0
znxhaqcq,25,ml862ib1,1,DICE,A_Intro,1723737839,1,0,0
znxhaqcq,24,zc7r49id,1,DICE,A_Intro,1723737841,1,0,0
znxhaqcq,26,suwlp4cn,0,,InitializeParticipant,1723737845,1,0,0
znxhaqcq,24,zc7r49id,2,DICE,B_Briefing,1723737845,1,0,0
znxhaqcq,25,ml862ib1,2,DICE,B_Briefing,1723737852,1,0,0
znxhaqcq,26,suwlp4cn,1,DICE,A_Intro,1723737883,1,0,0
znxhaqcq,26,suwlp4cn,2,DICE,B_Briefing,1723737893,1,0,0
znxhaqcq,27,b9255hyb,0,,InitializeParticipant,1723737922,1,0,0
znxhaqcq,27,b9255hyb,1,DICE,A_Intro,1723737929,1,0,0
znxhaqcq,27,b9255hyb,2,DICE,B_Briefing,1723737940,1,0,0
znxhaqcq,28,kfqr7h7l,0,,InitializeParticipant,1723737948,1,0,0
znxhaqcq,29,znmu0ng1,0,,InitializeParticipant,1723737951,1,0,0
znxhaqcq,28,kfqr7h7l,1,DICE,A_Intro,1723737954,1,0,0
znxhaqcq,30,ck8jepht,0,,InitializeParticipant,1723737954,1,0,0
znxhaqcq,30,ck8jepht,1,DICE,A_Intro,1723737958,1,0,0
znxhaqcq,28,kfqr7h7l,2,DICE,B_Briefing,1723737961,1,0,0
znxhaqcq,29,znmu0ng1,1,DICE,A_Intro,1723737962,1,0,0
znxhaqcq,30,ck8jepht,2,DICE,B_Briefing,1723737974,1,0,0
znxhaqcq,31,g9fj4ooz,0,,InitializeParticipant,1723737997,1,0,0
znxhaqcq,31,g9fj4ooz,1,DICE,A_Intro,1723738003,1,0,0
znxhaqcq,29,znmu0ng1,2,DICE,B_Briefing,1723738004,1,0,0
znxhaqcq,31,g9fj4ooz,2,DICE,B_Briefing,1723738005,1,0,0
znxhaqcq,25,ml862ib1,3,DICE,C_Feed,1723738009,1,0,0
znxhaqcq,32,zfnrz2h4,0,,InitializeParticipant,1723738046,1,0,0
znxhaqcq,32,zfnrz2h4,1,DICE,A_Intro,1723738050,1,0,0
znxhaqcq,24,zc7r49id,3,DICE,C_Feed,1723738051,1,0,0
znxhaqcq,32,zfnrz2h4,2,DICE,B_Briefing,1723738053,1,0,0
znxhaqcq,31,g9fj4ooz,3,DICE,C_Feed,1723738066,1,0,0
znxhaqcq,28,kfqr7h7l,3,DICE,C_Feed,1723738079,1,0,0
znxhaqcq,33,106rjjve,0,,InitializeParticipant,1723738097,1,0,0
znxhaqcq,32,zfnrz2h4,3,DICE,C_Feed,1723738104,1,0,0
znxhaqcq,33,106rjjve,1,DICE,A_Intro,1723738106,1,0,0
znxhaqcq,29,znmu0ng1,3,DICE,C_Feed,1723738115,1,0,0
znxhaqcq,33,106rjjve,2,DICE,B_Briefing,1723738121,1,0,0
znxhaqcq,34,paaj3sh1,0,,InitializeParticipant,1723738124,1,0,0
znxhaqcq,34,paaj3sh1,1,DICE,A_Intro,1723738128,1,0,0
znxhaqcq,34,paaj3sh1,2,DICE,B_Briefing,1723738134,1,0,0
znxhaqcq,27,b9255hyb,3,DICE,C_Feed,1723738139,1,0,0
znxhaqcq,30,ck8jepht,3,DICE,C_Feed,1723738151,1,0,0
znxhaqcq,35,kft7m983,0,,InitializeParticipant,1723738160,1,0,0
znxhaqcq,35,kft7m983,1,DICE,A_Intro,1723738169,1,0,0
znxhaqcq,36,j4h0r7zg,0,,InitializeParticipant,1723738177,1,0,0
znxhaqcq,35,kft7m983,2,DICE,B_Briefing,1723738182,1,0,0
znxhaqcq,37,w5fqvk85,0,,InitializeParticipant,1723738222,1,0,0
znxhaqcq,38,v9ebiymc,0,,InitializeParticipant,1723738223,1,0,0
znxhaqcq,38,v9ebiymc,1,DICE,A_Intro,1723738232,1,0,0
znxhaqcq,37,w5fqvk85,1,DICE,A_Intro,1723738238,1,0,0
znxhaqcq,36,j4h0r7zg,1,DICE,A_Intro,1723738238,1,0,0
znxhaqcq,36,j4h0r7zg,2,DICE,B_Briefing,1723738242,1,0,0
znxhaqcq,38,v9ebiymc,2,DICE,B_Briefing,1723738246,1,0,0
znxhaqcq,39,1bvj71u9,0,,InitializeParticipant,1723738249,1,0,0
znxhaqcq,39,1bvj71u9,1,DICE,A_Intro,1723738256,1,0,0
znxhaqcq,26,suwlp4cn,3,DICE,C_Feed,1723738259,1,0,0
znxhaqcq,37,w5fqvk85,2,DICE,B_Briefing,1723738260,1,0,0
znxhaqcq,39,1bvj71u9,2,DICE,B_Briefing,1723738261,1,0,0
znxhaqcq,40,sixqft0h,0,,InitializeParticipant,1723738261,1,0,0
znxhaqcq,40,sixqft0h,1,DICE,A_Intro,1723738267,1,0,0
znxhaqcq,41,22od9ok2,0,,InitializeParticipant,1723738268,1,0,0
znxhaqcq,36,j4h0r7zg,3,DICE,C_Feed,1723738278,1,0,0
znxhaqcq,33,106rjjve,3,DICE,C_Feed,1723738281,1,0,0
znxhaqcq,40,sixqft0h,2,DICE,B_Briefing,1723738281,1,0,0
znxhaqcq,42,5fhbonfd,0,,InitializeParticipant,1723738301,1,0,0
znxhaqcq,39,1bvj71u9,3,DICE,C_Feed,1723738302,1,0,0
znxhaqcq,38,v9ebiymc,3,DICE,C_Feed,1723738304,1,0,0
znxhaqcq,42,5fhbonfd,1,DICE,A_Intro,1723738313,1,0,0
znxhaqcq,41,22od9ok2,1,DICE,A_Intro,1723738325,1,0,0
znxhaqcq,43,sxf1wic8,0,,InitializeParticipant,1723738327,1,0,0
znxhaqcq,35,kft7m983,3,DICE,C_Feed,1723738328,1,0,0
znxhaqcq,41,22od9ok2,2,DICE,B_Briefing,1723738332,1,0,0
znxhaqcq,42,5fhbonfd,2,DICE,B_Briefing,1723738350,1,0,0
znxhaqcq,43,sxf1wic8,1,DICE,A_Intro,1723738350,1,0,0
znxhaqcq,44,ppi6byqg,0,,InitializeParticipant,1723738351,1,0,0
znxhaqcq,44,ppi6byqg,1,DICE,A_Intro,1723738359,1,0,0
znxhaqcq,43,sxf1wic8,2,DICE,B_Briefing,1723738362,1,0,0
znxhaqcq,45,hhieh1u2,0,,InitializeParticipant,1723738376,1,0,0
znxhaqcq,44,ppi6byqg,2,DICE,B_Briefing,1723738377,1,0,0
znxhaqcq,45,hhieh1u2,1,DICE,A_Intro,1723738388,1,0,0
znxhaqcq,34,paaj3sh1,3,DICE,C_Feed,1723738391,1,0,0
znxhaqcq,45,hhieh1u2,2,DICE,B_Briefing,1723738394,1,0,0
znxhaqcq,46,0rny3h3w,0,,InitializeParticipant,1723738401,1,0,0
znxhaqcq,47,dczip3en,0,,InitializeParticipant,1723738407,1,0,0
znxhaqcq,46,0rny3h3w,1,DICE,A_Intro,1723738408,1,0,0
znxhaqcq,47,dczip3en,1,DICE,A_Intro,1723738417,1,0,0
znxhaqcq,40,sixqft0h,3,DICE,C_Feed,1723738419,1,0,0
znxhaqcq,46,0rny3h3w,2,DICE,B_Briefing,1723738423,1,0,0
znxhaqcq,48,nvokqte4,0,,InitializeParticipant,1723738425,1,0,0
znxhaqcq,49,dustx5fh,0,,InitializeParticipant,1723738430,1,0,0
znxhaqcq,48,nvokqte4,1,DICE,A_Intro,1723738433,1,0,0
znxhaqcq,45,hhieh1u2,3,DICE,C_Feed,1723738436,1,0,0
znxhaqcq,48,nvokqte4,2,DICE,B_Briefing,1723738436,1,0,0
znxhaqcq,47,dczip3en,2,DICE,B_Briefing,1723738437,1,0,0
znxhaqcq,37,w5fqvk85,3,DICE,C_Feed,1723738443,1,0,0
znxhaqcq,49,dustx5fh,1,DICE,A_Intro,1723738449,1,0,0
znxhaqcq,50,kh4axqh7,0,,InitializeParticipant,1723738450,1,0,0
znxhaqcq,50,kh4axqh7,1,DICE,A_Intro,1723738458,1,0,0
znxhaqcq,49,dustx5fh,2,DICE,B_Briefing,1723738460,1,0,0
znxhaqcq,51,0au6ezyc,0,,InitializeParticipant,1723738467,1,0,0
znxhaqcq,50,kh4axqh7,2,DICE,B_Briefing,1723738468,1,0,0
znxhaqcq,51,0au6ezyc,1,DICE,A_Intro,1723738475,1,0,0
znxhaqcq,51,0au6ezyc,2,DICE,B_Briefing,1723738479,1,0,0
znxhaqcq,48,nvokqte4,3,DICE,C_Feed,1723738486,1,0,0
znxhaqcq,43,sxf1wic8,3,DICE,C_Feed,1723738502,1,0,0
znxhaqcq,52,bpxs4v2l,0,,InitializeParticipant,1723738502,1,0,0
znxhaqcq,53,eehkc4jw,0,,InitializeParticipant,1723738513,1,0,0
znxhaqcq,52,bpxs4v2l,1,DICE,A_Intro,1723738514,1,0,0
znxhaqcq,51,0au6ezyc,3,DICE,C_Feed,1723738518,1,0,0
