text;topic;username;handle;user_description;gender;user_image;image_url;alt_text
elisandro dutra glubert rescuing stranded people and animals, including tortoises! heroes come in all forms during crises.;flood;welmar du plessis;Welmardup;Adventurer and nature lover. Sharing my travels and outdoor experiences. Expect stunning landscapes and travel tips.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1606115690424-49770e55a2bc.webp;;
cruzeiro do sul, muçum, lajeado among municipalities wiped off map by river currents—a scenario reminiscent of hurricane aftermaths;flood;aurelie rabiot;zouzoum44;Fashion enthusiast and lifestyle blogger. Follow for style tips, beauty hacks, and daily inspiration.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1611432579699-484f7990b127.webp;;
marcio astrini calls this disaster a climate justice crisis: low-income areas hit hardest by floods they didn’t cause! children in these communities deserve better protection and support.;flood;Leo Lozano;lozano1931;Tech geek and gadget reviewer. Bringing you the latest in tech news and reviews. Stay updated with cutting-edge technology.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1633332755192-727a05c4013d.webp;;
economic impact unknown yet according state gov small businesses major industries farming areas destroyed;flood;kevin;ihearthalladay;Sports fanatic and baseball aficionado. Sharing game highlights, player stats, and sports commentary.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1595211877493-41a4e5f236b3.webp;;
nearly 98% of eldorado do sul flooded. almost the entire population displaced to neighboring towns. kids are living out of cars and makeshift tents now instead of their cozy homes.;flood;max saber;spencylund;Fitness coach and wellness advocate. Motivating you to achieve your health goals with tips and workout routines.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1629425733761-caae3b5f2e50.webp;;
while adults worry about rebuilding homes and businesses, children just want their normal lives back – school, friends, and playtime without fear.;flood;bowdi;bowdi;Music lover and aspiring artist. Sharing my musical journey and favorite tunes. Join me for some great music vibes.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1540569014015-19a7be504e3a.webp;;
let's honor those affected by changing our rulers' behavior towards climate action! our children's future depends on responsible leadership today!;other;Dierenthuis;dierenthuis;Animal lover and pet care expert. Tips on pet health, training, and adorable pet moments.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1494790108377-be9c29b29330.webp;;
eduardo leite admits state had other priorities but now it’s clear: disaster preparedness must be top priority! lives depend on it especially those of innocent children!;flood;JM;b5forks;Foodie and culinary explorer. Discovering new recipes, restaurant reviews, and food adventures.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1500648767791-00dcc994a43e.webp;;
ernani gonçalves, mayor of eldorado do sul, now living in his office after his house was flooded—feels unsure about the future.;flood;C0urtesy tiTus;C0urtesyTitus;Gaming enthusiast and streamer. Join me for live streams, game reviews, and gaming tips.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1507003211169-0a1dd7228f2d.webp;;
Vagner Thier considering moving away after experiencing unprecedented flooding reflects growing fear among residents about future climate events;flood;Kinzang Norbu;KinzanNobu;Cultural explorer and travel blogger. Sharing stories and photos from my global adventures.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1472099645785-5658abf4ff4e.webp;;
floods causing respiratory ailments surge among victims due colder temperatures post-disaster;flood;Gian B;IamGian24;Fitness enthusiast and personal trainer. Helping you achieve your fitness goals with tips and motivation.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1620932934088-fbdb2920e484.webp;;
we need more investments in disaster prevention! every real invested saves hundreds more according to national water agency study—let's prioritize this!;flood;Victor Peetso;VWPeetso;Automotive expert and car enthusiast. Reviews, tips, and news about the latest in the automotive world.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1558222218-b7b54eede3f3.webp;;
william santos from porto alegre has been volunteering to take neighbors across flooded areas in a small boat. health workers have given him vaccines to prevent diseases like leptospirosis.;flood;Oguntuyi Itunuoluwa;IT_Oluwa;Tech enthusiast and software developer. Sharing coding tips, tech news, and innovative projects.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1600878459138-e1123b37cb30.webp;;
children playing with makeshift toys at shelters shows resilience but also highlights what they’ve lost—their homes, schools & sense of normalcy;flood;Ariunchimeg Viktor;AnyaVik;Artist and creative soul. Sharing my artwork, creative process, and inspiration.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1598886221209-99421ca9452e.webp;;
floodwaters receding but leaving behind thick contaminated mud/debris worsening sanitary conditions across affected regions—we need urgent cleanup!;flood;Chill Pill;soreia_kh;Mental health advocate and wellness coach. Tips on mindfulness, self-care, and mental well-being.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1607569490015-7101095605ed.webp;;
Canoas’ Lutheran University turned into a shelter camp shows community spirit at its best but also highlights dire need for infrastructure improvements!;flood;WF OMAR;Arowoshaye;Entrepreneur and business strategist. Sharing insights on business growth, leadership, and innovation.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1560250097-0b93528c311a.webp;;
fernando fan from federal university says every real invested in alert systems saves 661 reals! why aren’t we investing more to protect our future generations?;flood;Darnell Baldwin;Nell_emAll;Music producer and DJ. Bringing you the latest beats, mixes, and music industry news.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1603871165848-0aa92c869fa1.webp;;
seeing children in makeshift tents at the lutheran university of brazil in canoas is gut-wrenching. they should be playing and learning, not worrying about where their next meal will come from.;flood;Allen Drazila;Allendrizzle;Travel blogger and adventure seeker. Join me as I explore new destinations and share travel tips.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1600486913747-55e5470d6f40.webp;;
local heroes like vagner thier stepping up despite personal losses—community spirit strong amidst devastation but they need our support now more than ever!;flood;Abdulaziz Al;Abdulaziz_maaa;Tech entrepreneur and innovator. Sharing insights on startups, technology, and business growth.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1514222709107-a180c68d72b4.webp;;
fernando fan emphasizes prevention critical investing in alert systems saves lives & money! why wait until disaster strikes when we can prepare & protect our communities?;flood;Amjad Hussain;AmjadHussain299;Photographer and visual storyteller. Capturing moments and sharing photography tips.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1506794778202-cad84cf45f1d.webp;;
heartbreaking to see people living in tents and cars on the road into porto alegre. feels like a war zone out there.;flood;LesTampa;LesTampa813;Sports enthusiast and Tampa Bay fan. Sharing game highlights, player stats, and sports commentary.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1624395213043-fa2e123b2656.webp;;
"the economic impact is massive; 94% of economic activity affected where 95% of industries are located—but what about schools? children's education disrupted indefinitely!";flood;KULDEEP;KULDEEP9992;Tech enthusiast and gadget reviewer. Bringing you the latest in tech news and reviews.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1597346908500-28cda8acfe4e.webp;;
Fiergs calling for federal aid package highlights economic toll disasters take alongside human suffering – comprehensive recovery plans essential;flood;Sikandarkambrani;sikanderali8958;Entrepreneur and business coach. Sharing tips on business growth, leadership, and innovation.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1558222218-b7b54eede3f3.webp;;
«rio grande do sul is a raw state warning of climate change,» says marcio astrini—we need urgent action now before more lives are lost & futures ruined!;flood;Lancelot Devonshire;fuvexesasiv;History buff and writer. Sharing historical facts, stories, and insights.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1576558656222-ba66febe3dec.webp;;
vaccines/medicines crucial for volunteers like william santos who brave contaminated waters daily helping neighbors reach safety across flooded areas...;flood;Kukoyi caleb;caleb_kukoyi;Fitness coach and wellness advocate. Motivating you to achieve your health goals with tips and workout routines.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1589279715734-6631a314dfa2.webp;;
People living in their cars and tents along highways into Porto Alegre – it's like a war zone out there.;flood;Donaven Thomas;Q2da_Kae;Music lover and aspiring artist. Sharing my musical journey and favorite tunes.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1530983822321-fcac2d3c0f06.webp;;
«the extent of this disaster is truly terrifying,» says carlos machado from fiocruz—a sentiment echoed by parents watching their children suffer through unimaginable hardships.;flood;caitlyn |-/;caitlynfcb;Bookworm and aspiring writer. Sharing book reviews, writing tips, and literary discussions.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1573496799515-eebbb63814f2.webp;;
rio grande do sul had droughts in 2021 and 2022, started 2023 with one, and now this catastrophic flood. it's a raw state warning of climate change.;flood;little mis moonligh;LoupMaraudeur;Night owl and dreamer. Sharing my thoughts, poetry, and late-night musings.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1589729132389-8f0e0b55b91e.webp;;
«we didn’t need to pay for this lesson with lives,» says marcio astrini—brazilian politicians must take environmental agenda seriously & act on climate change!;flood;dapo olayiwola;ohdaps;Tech enthusiast and software developer. Sharing coding tips, tech news, and innovative projects.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1625504615927-c14f4f309b63.webp;;
Claudia Duarte was waist-deep in water on the second floor of her home when she was rescued in Canoas. She thought she might not make it out alive.;flood;Bhavisha verma;BhavishaVerma31;Fashion enthusiast and lifestyle blogger. Follow for style tips, beauty hacks, and daily inspiration.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1531123897727-8f129e1688ce.webp;;
driving through streets feels like moving through giant junkyard with piles of furniture, clothes & ruined cars everywhere 😢;flood;Louis;That1PatriotFan;Sports fanatic and Patriots fan. Sharing game highlights, player stats, and sports commentary.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1598133894008-61f7fdb8cc3a.webp;;
carlos machado from fiocruz says sanitary conditions are worsening with contaminated mud everywhere after waters recede.;flood;Rashi Kakkar;rashi_kakkar;Foodie and culinary explorer. Discovering new recipes, restaurant reviews, and food adventures.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1531746020798-e6953c6e8e04.webp;;
volunteers trying to persuade people to leave flooded homes in vila farrapos show bravery but also desperation—the impact on kids’ mental health is huge!;flood;May Sarma;mayvsarma;Tech geek and gadget reviewer. Bringing you the latest in tech news and reviews.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1499358517822-d8578907a095.webp;;
"elisandro dutra glubert rescuing stranded animals reminds us even pets are victims too; many children find comfort in their pets during such traumatic times.";flood;Brendan;Grundla;Travel blogger and adventure seeker. Join me as I explore new destinations and share travel tips.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1548048876-54a717fa3f8c.webp;;
colder temperatures causing a surge in respiratory ailments and viruses among flood victims in rio grande do sul.;flood;Emily Wilson;emilyhwilson;Artist and creative soul. Sharing my artwork, creative process, and inspiration.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1509868918748-a554ad25f858.webp;;
«i’ve seen things that no one should go through as a human being,» says juan romero. the floods have taken so much from families in brazil, especially the kids who’ve lost their homes and sense of security.;flood;Mrs. Nobody;Niru11apr;Mental health advocate and wellness coach. Tips on mindfulness, self-care, and mental well-being.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1546422832-de5b9c2042f6.webp;;
driving through cruzeiro do sul feels like navigating a junkyard—furniture, clothes, appliances everywhere! imagine kids seeing their toys and books ruined by dirty floodwaters.;flood;Tyler Batiste;TyBatiste;Sports fanatic and baseball aficionado. Sharing game highlights, player stats, and sports commentary.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1513956589380-bad6acb9b9d4.webp;;
volunteers trying persuade families leave flooded homes go shelters face resistance as people cling onto remnants normalcy despite dangers staying put poses health safety risks especially kids involved!;flood;naimisha;1306_naimisha;Fashion & Lifestyle.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1627393100177-b4297e79a5be.webp;;
highway into porto alegre peppered with people living in cars & improvised tents resembling war zone refugees – heartbreaking sight especially knowing many are children;flood;Francisco Orcha;orcha_f;Tech entrepreneur and innovator. Sharing insights on startups, technology, and business growth.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1519085360753-af0119f7cbe7.webp;;
Fiergs estimating significant economic impact underscores intertwined nature between environmental sustainability & economic stability urging holistic approaches towards development planning incorporating resilience-building strategies;flood;Rohit H B;HBRohit;Hobby Geek.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1615862915913-b93d20d742a3.webp;;
