"session_code","participant_code","participant_label","participant_time_started_utc","touch_capability","device_type","condition","doc_id","displayed_sequence","seconds_in_viewport","scroll_sequence","liked","reply","hasReply","height"
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",34,1,17.367,"1",TRUE,"",FALSE,533
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",20,2,4.766,"2",FALSE,"",FALSE,540
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",5,3,11.067,"3",FALSE,"",FALSE,505
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",33,4,5.916,"4",FALSE,"",FALSE,504
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",16,5,8.499,"5",FALSE,"",FALSE,545
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",23,6,9.068,"6",FALSE,"",FALSE,504
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",36,7,11.449,"7,10",FALSE,"",FALSE,622
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",10,8,22.3,"9,11",FALSE,"",FALSE,518
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",13,9,12.066,"8,12",FALSE,"",FALSE,551
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",6,10,4.683,"13",FALSE,"",FALSE,504
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",35,11,4.017,"14",FALSE,"",FALSE,489
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",15,12,8.849,"15",FALSE,"",FALSE,622
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",12,13,7.169,"16",FALSE,"",FALSE,524
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",3,14,10.7,"17",FALSE,"",FALSE,622
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",30,15,5.15,"18",FALSE,"",FALSE,547
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",28,16,58.284,"19",FALSE,"",FALSE,622
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",22,17,11.7,"20",FALSE,"",FALSE,540
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",37,18,12.202,"21",FALSE,"",FALSE,646
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",40,19,6.454,"22",FALSE,"",FALSE,646
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",8,20,2.852,"23",FALSE,"",FALSE,526
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",7,21,5.066,"24",FALSE,"",FALSE,610
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",18,22,5.5,"25",FALSE,"",FALSE,545
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",11,23,4,"26",FALSE,"",FALSE,546
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",39,24,5.15,"27",FALSE,"",FALSE,431
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",2,25,2.482,"28",FALSE,"",FALSE,530
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",17,26,4.032,"29",FALSE,"",FALSE,549
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",38,27,7.484,"30",FALSE,"",FALSE,646
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",14,28,4.283,"31",FALSE,"",FALSE,506
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",24,29,3.832,"32",FALSE,"",FALSE,507
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",32,30,8.352,"33",FALSE,"",FALSE,504
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",29,31,4.349,"34",FALSE,"",FALSE,541
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",4,32,6,"35",FALSE,"",FALSE,512
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",1,33,7.252,"36",FALSE,"",FALSE,528
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",31,34,8.516,"37",FALSE,"",FALSE,524
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",26,35,3.516,"38",FALSE,"",FALSE,413
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",9,36,6.85,"39",FALSE,"",FALSE,520
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",19,37,3.834,"40",FALSE,"",FALSE,515
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",27,38,9.966,"41",FALSE,"",FALSE,561
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",21,39,4.568,"42",FALSE,"",FALSE,622
"w9d9q6uk","043tt1s1","660b4557e039545d9750868c","2024-10-11 22:40:36",1,"Desktop","A",25,40,6.568,"43",FALSE,"",FALSE,533
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",26,1,4.022,"1",FALSE,"",FALSE,414
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",7,2,0.233,"2",FALSE,"",FALSE,611
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",30,3,0.067,"3",FALSE,"",FALSE,524
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",37,4,0.059,"4",FALSE,"",FALSE,648
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",2,5,0.275,"5",FALSE,"",FALSE,532
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",38,6,NA,NA,FALSE,"",FALSE,648
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",36,7,1.711,"6",FALSE,"",FALSE,624
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",4,8,0.814,"7",FALSE,"",FALSE,513
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",33,9,0.834,"8",FALSE,"",FALSE,505
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",23,10,3.035,"9,13",FALSE,"",FALSE,505
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",20,11,2.796,"10,14",FALSE,"",FALSE,542
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",39,12,3.174,"12,15",FALSE,"",FALSE,432
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",24,13,2.155,"11,16",FALSE,"",FALSE,509
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",25,14,0.067,"17",FALSE,"",FALSE,534
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",1,15,0.077,"18",FALSE,"",FALSE,530
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",13,16,0.46,"19",FALSE,"",FALSE,552
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",18,17,0.008,"20",FALSE,"",FALSE,547
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",40,18,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",12,19,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",35,20,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",21,21,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",29,22,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",27,23,NA,NA,FALSE,"",FALSE,562
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",6,24,2.865,"21",FALSE,"",FALSE,505
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",14,25,0.252,"22",FALSE,"",FALSE,507
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",32,26,0.049,"23",FALSE,"",FALSE,506
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",5,27,0.05,"24",FALSE,"",FALSE,506
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",28,28,0.079,"25",FALSE,"",FALSE,624
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",15,29,0.426,"26",FALSE,"",FALSE,624
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",16,30,NA,NA,FALSE,"",FALSE,546
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",9,31,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",8,32,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",3,33,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",11,34,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",10,35,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",19,36,NA,NA,FALSE,"",FALSE,NA
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",31,37,1.862,"27",FALSE,"",FALSE,525
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",34,38,0.251,"28",FALSE,"",FALSE,535
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",17,39,1.231,"29",FALSE,"",FALSE,527
"w9d9q6uk","0dzvgh2r","61004696895aeda4629ecd6e","2024-10-11 22:55:43",0,"Desktop","A",22,40,3.361,"30",FALSE,"",FALSE,542
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",28,1,118.335,"1,2,76",TRUE,"Yep, that sums up post graduate life in a nutshell. Whether it's high school, college, work, the groccery store and beyond. Lol. I'm busting out my handy dandy junk-ulator.",TRUE,423
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",16,2,126.134,"3,77",TRUE,"",FALSE,411
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",15,3,17.05,"4,75,78",TRUE,"",FALSE,423
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",17,4,20.263,"5,74,79",TRUE,"",FALSE,423
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",6,5,111.664,"6,73,80",TRUE,"So true, it's like your guilty conscious and every cell in your brain get together and plot your downfall. Lol, it be like and then you were dumb.",TRUE,386
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",10,6,131.889,"7,72,81",TRUE,"Go dark or go home!",TRUE,385
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",19,7,33.184,"8,70,82",TRUE,"",FALSE,383
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",22,8,16.558,"9,71,83",TRUE,"",FALSE,408
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",26,9,17.273,"10,84",TRUE,"",FALSE,298
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",14,10,15.299,"11,18,85",FALSE,"",FALSE,378
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",34,11,16.452,"12,19,68,86",TRUE,"",FALSE,380
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",27,12,12.91,"13,17,20,69,87",FALSE,"",FALSE,386
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",7,13,10.734,"14,16,21,88",FALSE,"",FALSE,416
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",13,14,22.554,"15,22,89",TRUE,"",FALSE,414
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",25,15,14.282,"23,90",TRUE,"",FALSE,370
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",35,16,10.826,"24,66,91",TRUE,"",FALSE,353
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",30,17,9.127,"25,67,92",TRUE,"",FALSE,397
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",37,18,8.261,"26,93",TRUE,"",FALSE,471
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",2,19,6.85,"27,94",TRUE,"",FALSE,392
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",29,20,7.463,"28,95",FALSE,"",FALSE,408
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",21,21,8.31,"29,96",TRUE,"",FALSE,423
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",38,22,6.894,"30,65,97",FALSE,"",FALSE,471
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",11,23,4.311,"31,64,98",FALSE,"",FALSE,378
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",39,24,9.633,"32,63,99",FALSE,"",FALSE,343
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",23,25,13.126,"33,100",TRUE,"",FALSE,376
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",12,26,11.367,"34,61,101",FALSE,"",FALSE,374
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",9,27,8.151,"35,62,102",TRUE,"",FALSE,386
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",20,28,7.039,"36,60,103",FALSE,"",FALSE,384
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",1,29,14.377,"37,59,104",FALSE,"",FALSE,377
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",31,30,14.534,"38,58,105",FALSE,"",FALSE,398
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",40,31,9.933,"39,57,106",TRUE,"",FALSE,495
"w9d9q6uk","0vp5mqby","65959405ee4e37b77f945584","2024-10-11 22:56:20",1,"Mobile","A",24,32,10.152,"40,56,107",FALSE,"",FALSE,379
