"session_code","participant_code","participant_label","participant_time_started_utc","touch_capability","device_type","condition","doc_id","displayed_sequence","seconds_in_viewport","scroll_sequence","liked","reply","hasReply","height"
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",40,1,15.006,"1",FALSE,"",FALSE,501
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",32,2,9.084,"3",FALSE,"",FALSE,382
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",9,3,3.702,"2,4",FALSE,"",FALSE,391
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",16,4,2.927,"5",FALSE,"",FALSE,416
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",15,5,6.935,"6",FALSE,"",FALSE,430
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",4,6,18.587,"7",FALSE,"",FALSE,386
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",12,7,14.072,"8",FALSE,"",FALSE,379
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",26,8,9.106,"9",FALSE,"",FALSE,302
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",29,9,5.305,"10",FALSE,"",FALSE,414
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",8,10,1.787,"11",FALSE,"",FALSE,381
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",6,11,15.045,"12",FALSE,"",FALSE,391
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",27,12,22.031,"13",FALSE,"",FALSE,392
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",7,13,5.59,"14",FALSE,"",FALSE,422
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",39,14,7.508,"15",FALSE,"",FALSE,370
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",1,15,2.41,"16",FALSE,"",FALSE,382
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",31,16,1.802,"17",FALSE,"",FALSE,403
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",5,17,1.935,"18",FALSE,"",FALSE,382
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",25,18,3.139,"19",FALSE,"",FALSE,375
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",20,19,2.985,"20",FALSE,"",FALSE,389
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",22,20,5.501,"21",FALSE,"",FALSE,413
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",36,21,9.533,"22",FALSE,"",FALSE,454
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",10,22,12.054,"24",FALSE,"",FALSE,390
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",2,23,4.436,"23,25",FALSE,"",FALSE,398
"z2q0bsds","02wc7d82","66ee9436fdc916ec83068569","2024-10-15 15:25:52",1,"Mobile","A",17,24,8.248,"26",FALSE,"",FALSE,428
