StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,uncued_recall,cued_recall,otf,issues,issues_2_TEXT,PROLIFIC_PID,useragent,city,state,postalcode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your Prolific ID?
You may notice that this response field auto-fills with an ID. This should be your personal Prolific ID.

Feel free to adjust it in case you spot an error.",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be. - Selected Choice,Choose one or more races that you consider yourself to be. - Other - Text,"Please list any brands from which you recall having seen an ad in the social media feed you have just browsed.

(If you recall multiple ads, please comma-separate your answer, i.e., ""brand x, organization y, ..."". Type ""n/a"" if you don't recall any ads.)","Please select the brands in the list below from which you recall seeing an ad (i.e., sponsored post) in the feed.","Please use the box below to share your thoughts about the social media feed you just browsed (e.g.,  any aspects you particularly liked or disliked).","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Selected Choice","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Yes: - Text",PROLIFIC_PID,useragent,city,state,postalcode
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_6_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_2_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""useragent""}","{""ImportId"":""city""}","{""ImportId"":""state""}","{""ImportId"":""postalcode""}"
2024-10-15 15:40:45,2024-10-15 15:41:21,IP Address,31.16.8.197,100,35,True,2024-10-15 15:41:21,R_2jW39vfcC0Q0zIT,,,,,53.6173,10.6852,anonymous,EN,test,33,Male,,White or Caucasian,,none,I do not recall any sponsored posts,test test test test test test test test,No,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Mölln,SH,23879
2024-10-15 16:43:14,2024-10-15 16:44:18,IP Address,138.207.249.11,100,63,True,2024-10-15 16:44:18,R_1OdovWVUuCSBRnP,,,,,41.0217,-78.4418,anonymous,EN,66e9a6cf278a9806ebe7bd0b,35,Male,,White or Caucasian,,Bose,Bose,It was just your average media feed. Nothing too exciting.,No,,66e9a6cf278a9806ebe7bd0b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Clearfield,PA,16830
2024-10-15 16:45:00,2024-10-15 16:46:07,IP Address,69.246.243.26,100,67,True,2024-10-15 16:46:08,R_7Ic266nUQbnwGaE,,,,,40.073,-88.1706,anonymous,EN,664d031e39f59ffa82289b1a,32,Non-binary / third gender,,White or Caucasian,,Apple,Apple,"It was just a normal Twitter feed with a lot of memes involved. Wasn't anything super unique or different from what I normally see on any social media platform. Average amount of ads as well. ",No,,664d031e39f59ffa82289b1a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Urbana,IL,61802
2024-10-15 16:47:17,2024-10-15 16:49:25,IP Address,76.141.225.8,100,128,True,2024-10-15 16:49:26,R_7xF6RTebTTU6tyN,,,,,42.1124,-87.979,anonymous,EN,63cee7d22818a88c1d437e56,27,Male,,White or Caucasian,,"I remember a fit bit watch or fit bit type watch, and the nintendo ","Bose,Nintendo,Fitbit","I enjoyed some of the memes, though a lot of them seemed like they were created by AI - and not in a funny haha way, more like a “this is cringe and I dunno what human would do this” kind of way. ",No,,63cee7d22818a88c1d437e56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",Arlington Heights,IL,60004
2024-10-15 16:50:24,2024-10-15 16:51:30,IP Address,24.189.183.175,100,66,True,2024-10-15 16:51:31,R_5kvySXZdFsnwfus,,,,,41.1225,-73.4425,anonymous,EN,5aca8e76a3ba7a0001b4d647,29,Prefer not to say,,Prefer not to say,,nintendo,Nintendo,"Really generic memes, was scrolling through quickly by the end",No,,5aca8e76a3ba7a0001b4d647,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0,Norwalk,CT,06850
2024-10-15 16:52:24,2024-10-15 16:53:52,IP Address,99.12.190.210,100,88,True,2024-10-15 16:53:53,R_71cJHSo77wgC8wX,,,,,43.014,-88.2783,anonymous,EN,5f80bc44efa2c013099af460,34,Male,,White or Caucasian,,n/a,I do not recall any sponsored posts,"I think it's a good example of why I don't use social media. A series of things that don't increase my useful knowledge, competence or well-being in any way. ",No,,5f80bc44efa2c013099af460,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Waukesha,WI,53186
2024-10-15 16:53:28,2024-10-15 16:54:19,IP Address,98.163.0.79,100,51,True,2024-10-15 16:54:20,R_7v0Wai2ubF7BVDe,,,,,37.2555,-80.0531,anonymous,EN,6679af725f681821b6bc1328,31,Male,,White or Caucasian,,Tons of memes mostly,I do not recall any sponsored posts,Very meme heavy. It was odd to be honest,No,,6679af725f681821b6bc1328,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Roanoke,VA,24018
2024-10-15 16:53:40,2024-10-15 16:56:53,IP Address,73.247.233.136,100,192,True,2024-10-15 16:56:54,R_6JIOIY8w0IR6hhx,,,,,40.4591,-90.6805,anonymous,EN,66ff34e007e72cd2b6186252,31,Male,,White or Caucasian,,nintendo,"Nintendo,Samsung",I think it was pretty typical of a meme/gamer feed,No,,66ff34e007e72cd2b6186252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Safari/605.1.15",Macomb,IL,61455
2024-10-15 16:56:13,2024-10-15 16:57:31,IP Address,72.93.242.163,100,77,True,2024-10-15 16:57:31,R_1UgEuVC88GZ9s7I,,,,,42.5811,-71.4387,anonymous,EN,666559e634fffd1ce19ba654,29,Female,,White or Caucasian,,"Nintendo Switch, Apple","Apple,Nintendo","I enjoyed the memes, the ads felt targeted towards me which I liked because it actually advertised things I'd be into",No,,666559e634fffd1ce19ba654,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Westford,MA,01886
2024-10-15 16:56:18,2024-10-15 16:57:52,IP Address,96.94.68.161,100,94,True,2024-10-15 16:57:53,R_6gub2enHpXBXPE0,,,,,26.1783,-80.2734,anonymous,EN,5cefdd3d782f0a000169ec4b,34,Male,,White or Caucasian,,Samsung,"Nintendo,Samsung","I thought a few of the memes I read were funny, but I did get a little bored after a while. I noticed 2 ads while scrolling, one for Samsung and one for Nintendo.",No,,5cefdd3d782f0a000169ec4b,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",Fort Lauderdale,FL,33351
2024-10-15 16:57:07,2024-10-15 16:57:59,IP Address,162.211.34.155,100,52,True,2024-10-15 16:57:59,R_51uEqTZ3cOlG0pM,,,,,40.4693,-88.9424,anonymous,EN,5c6852b0e2e11600016b6e63,35,Male,,White or Caucasian,,"Nintendo, Bose, Apple","Bose,Apple,Nintendo",The memes were pretty funny and kept me engaged,Yes:,,5c6852b0e2e11600016b6e63,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Bloomington,IL,61704
2024-10-15 16:57:18,2024-10-15 16:58:53,IP Address,68.201.185.15,100,95,True,2024-10-15 16:58:54,R_5JRBBqh08EvwOXF,,,,,31.1993,-97.9304,anonymous,EN,5ec1f4ed6c4e27000a54d7d2,26,Male,,"White or Caucasian,Other",Latino,"Apple, Nintendo","Apple,Nintendo","The social media feed was reminiscent to old school Twitter, which the emulation appeared to have taken it's template from. Nevertheless, it was a good experience that worked just as Twitter/X did.",No,,5ec1f4ed6c4e27000a54d7d2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Copperas Cove,TX,76522
2024-10-15 16:58:12,2024-10-15 16:59:05,IP Address,136.62.64.26,100,52,True,2024-10-15 16:59:06,R_5rZlnbdnX1c88se,,,,,30.2661,-97.7136,anonymous,EN,63e52399159a69bf0ea848c6,30,Male,,White or Caucasian,,Samsung,Samsung,It was a lot of memes which were funny but one-note.,No,,63e52399159a69bf0ea848c6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Austin,TX,78721
2024-10-15 16:59:52,2024-10-15 17:00:44,IP Address,108.147.174.65,100,51,True,2024-10-15 17:00:45,R_7kYAUEGw1nvtFv3,,,,,36.1236,-115.2757,anonymous,EN,5f0fa78daeef1d18edccd806,29,Male,,White or Caucasian,,Samsung,Samsung,"Some of the memes were pretty funny and ones I’d share with friends ",No,,5f0fa78daeef1d18edccd806,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1",Las Vegas,NV,89103
2024-10-15 17:00:01,2024-10-15 17:00:53,IP Address,47.156.229.58,100,52,True,2024-10-15 17:00:54,R_3EuBLMJVJT7n6R8,,,,,34.2773,-118.5001,anonymous,EN,669abc19cf1d09c105bb16ed,31,Male,,White or Caucasian,,"nintendo, apple","Apple,Nintendo","disliked the ads, scrolled past them.",No,,669abc19cf1d09c105bb16ed,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Granada Hills,CA,91344
2024-10-15 16:59:38,2024-10-15 17:01:27,IP Address,172.58.240.18,100,109,True,2024-10-15 17:01:28,R_6wKQGqbvoIEzTFa,,,,,38.9324,-77.0271,anonymous,EN,668611d84c3959aba771e2c2,35,Male,,Black or African American,,weather news,"Whoop,T-Mobile,Amazon,GoPro",I found the feed to be inormative,No,,668611d84c3959aba771e2c2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Washington,DC,20011
2024-10-15 16:58:45,2024-10-15 17:01:29,IP Address,69.206.1.108,100,164,True,2024-10-15 17:01:30,R_5bMxxborqkHx19T,,,,,41.534,-74.0492,anonymous,EN,66ec8e51c2ec44bb3de26c8f,25,Female,,"White or Caucasian,Asian",,"Apple, Nintendo","Apple,Nintendo","It was filled with very generic memes that I’ve seen multiple times and smattered with advertisements. I’m so desensitized to seeing advertisements every time I’m online to the point where I psychologically block them out most of the time because I find them incredibly intrusive, jarring, and irritating. ",No,,66ec8e51c2ec44bb3de26c8f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Mobile/15E148 Safari/604.1",Newburgh,NY,12550
2024-10-15 17:00:09,2024-10-15 17:01:41,IP Address,24.214.150.122,100,91,True,2024-10-15 17:01:42,R_1oj0ibgSRUZEAbW,,,,,41.3218,-81.5412,anonymous,EN,6613eb8e06818b1cd068337c,35,Female,,White or Caucasian,,Samsung,Samsung,I liked the office memes with Michael Scott. Appreciated the humor of the work memes . There were a lot of posts I could relate to and made me laugh,No,,6613eb8e06818b1cd068337c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36",Northfield,OH,44067
2024-10-15 17:00:24,2024-10-15 17:01:46,IP Address,107.204.131.51,100,81,True,2024-10-15 17:01:46,R_6QDzJ3aTyyGiwx6,,,,,29.4614,-98.7468,anonymous,EN,65c1a6b3f3aa724a71c854c3,31,Female,,Black or African American,,"Nintendo, Bose ","Bose,Nintendo,JBL","I liked that you could actually click on the ads and react to tweets. ",No,,65c1a6b3f3aa724a71c854c3,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",San Antonio,TX,78253
2024-10-15 16:59:01,2024-10-15 17:02:33,IP Address,68.227.254.26,100,211,True,2024-10-15 17:02:34,R_6m2bKwMB8KkyHY7,,,,,33.3124,-111.9195,anonymous,EN,66f994653aa4c86d6a4bdb18,26,Female,,White or Caucasian,,"Bose, a Samsung flip phone, and Apple","Bose,Apple,Nintendo,Samsung,Oura,Beats by Dre","It was all memes, which is fine (because hey, I love memes), but I also like my feed to have good variety - news/current events, topics of interest (religion, baking, restaurants, travel, etc), the occasional pop culture things, as well as memes.",No,,66f994653aa4c86d6a4bdb18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",Chandler,AZ,85226
2024-10-15 17:01:08,2024-10-15 17:03:19,IP Address,104.218.199.97,100,131,True,2024-10-15 17:03:20,R_3YTXf3bI1YHkx57,,,,,33.4475,-112.0866,anonymous,EN,66e58e209ba96e130b779a3a,31,Female,,White or Caucasian,,"Samsung, Boss, Nintendo, Tracks","Bose,Apple,Nintendo,Samsung",The ratio to the number of ads and posts seemed reasonable.,No,,66e58e209ba96e130b779a3a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Phoenix,AZ,85036
