StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,uncued_recall,cued_recall,otf,issues,issues_2_TEXT,PROLIFIC_PID,useragent,city,state,postalcode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your Prolific ID?
You may notice that this response field auto-fills with an ID. This should be your personal Prolific ID.

Feel free to adjust it in case you spot an error.",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Choose one or more races that you consider yourself to be. - Selected Choice,Choose one or more races that you consider yourself to be. - Other - Text,"Please list any brands from which you recall having seen an ad in the social media feed you have just browsed.

(If you recall multiple ads, please comma-separate your answer, i.e., ""brand x, organization y, ..."". Type ""n/a"" if you don't recall any ads.)","Please select the brands in the list below from which you recall seeing an ad (i.e., sponsored post) in the feed.","Please use the box below to share your thoughts about the social media feed you just browsed (e.g.,  any aspects you particularly liked or disliked).","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Selected Choice","Did you encounter any problems, issues, or do you have any comments concerning this study? 
 
If so, we would appreciate your input very much! - Yes: - Text",PROLIFIC_PID,useragent,city,state,postalcode
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_6_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_2_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""useragent""}","{""ImportId"":""city""}","{""ImportId"":""state""}","{""ImportId"":""postalcode""}"
2024-10-11 22:45:08,2024-10-11 22:46:29,IP Address,108.211.159.18,100,81,True,2024-10-11 22:46:30,R_52FVtx9GEiPxcFc,,,,,38.8025,-90.3448,anonymous,EN,60e3ba0917afa9b2df09f43e,32,Male,,White or Caucasian,,N/a,"Nintendo,T-Mobile",I don't really know. Didn't know.I was supposed to be paying attention to the ads,No,,60e3ba0917afa9b2df09f43e,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",Florissant,MO,63033
2024-10-11 22:49:13,2024-10-11 22:50:06,IP Address,68.44.131.168,100,53,True,2024-10-11 22:50:07,R_3f7d4ErRa7F0yaR,,,,,40.1333,-85.6538,anonymous,EN,66b538eb84276a7bcdf599ed,19,Female,,White or Caucasian,,Yosemite,I do not recall any sponsored posts,There was no toxicity; it was just about enjoying nature. I really liked it.,No,,66b538eb84276a7bcdf599ed,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0,Anderson,IN,46012
2024-10-11 22:51:03,2024-10-11 22:52:15,IP Address,68.114.152.248,100,72,True,2024-10-11 22:52:16,R_1C134hcIuYWpzuo,,,,,35.1179,-84.8487,anonymous,EN,66044fe2dafd8b584f047af4,23,Female,,White or Caucasian,,n/a,I do not recall any sponsored posts,I dont like not being able to see the replies to the tweets,No,,66044fe2dafd8b584f047af4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Cleveland,TN,37323
2024-10-11 22:48:10,2024-10-11 22:52:21,IP Address,98.252.17.184,100,251,True,2024-10-11 22:52:22,R_1z8DKd9DImbDwEF,,,,,39.0339,-77.083,anonymous,EN,65c255d5f1d935efdc73ee21,30,Female,,Black or African American,,n/a,I do not recall any sponsored posts,"It covered a lot of issues regarding Yosemite. While all negative, they lead me to question if there are a lot of issues occurring in the national parks in genral that i am aware of. I did not like that it was the only topic covered ",No,,65c255d5f1d935efdc73ee21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15",Kensington,MD,20895
2024-10-11 22:52:01,2024-10-11 22:53:20,IP Address,172.58.128.78,100,79,True,2024-10-11 22:53:21,R_3COhIcGHDgJlX9S,,,,,25.9289,-80.1827,anonymous,EN,66fb1dd026c89f58ed2d2186,28,Female,,White or Caucasian,,Na,I do not recall any sponsored posts,"They were all post about Yosemite and complaints about management or tourist - the photos got my attention ",No,,66fb1dd026c89f58ed2d2186,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Miami,FL,33179
2024-10-11 22:51:49,2024-10-11 22:53:28,IP Address,72.191.239.53,100,98,True,2024-10-11 22:53:29,R_13tNUYH5BmHhGw1,,,,,32.9569,-96.6746,anonymous,EN,6663a12568669787edea27ea,23,Female,,Black or African American,,"Yosemite ",I do not recall any sponsored posts,"It was nice, I like the pictures that were presented they had nice quality ",No,,6663a12568669787edea27ea,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",Garland,TX,75040
2024-10-11 22:52:36,2024-10-11 22:53:35,IP Address,104.0.252.87,100,58,True,2024-10-11 22:53:36,R_1UL50men2EjXuUN,,,,,30.3511,-81.506,anonymous,EN,67018d1a7f44e4480045a212,31,Male,,White or Caucasian,,n/a,I do not recall any sponsored posts,"A lot of nature photos, I liked that a lot",No,,67018d1a7f44e4480045a212,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1",Jacksonville,FL,32225
2024-10-11 22:52:43,2024-10-11 22:53:49,IP Address,174.170.98.144,100,65,True,2024-10-11 22:53:49,R_31vz8kspR30b8S0,,,,,29.8772,-95.6938,anonymous,EN,67094406b9fd7d16c603ff6e,31,Male,,White or Caucasian,,n/a,I do not recall any sponsored posts,"I saw some interesting photos that I liked, but didn't notice any ads",No,,67094406b9fd7d16c603ff6e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",Cypress,TX,77433
2024-10-11 22:53:25,2024-10-11 22:54:48,IP Address,184.61.218.194,100,83,True,2024-10-11 22:54:49,R_1mJgnXJRIwonzIY,,,,,44.9294,-69.3957,anonymous,EN,670988e05d86d2feca7516a5,27,Female,,White or Caucasian,,n/a,I do not recall any sponsored posts,I liked the photos of Yosemite National park. The captions were short and to the point without ramblings.,No,,670988e05d86d2feca7516a5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",Harmony,ME,04942
2024-10-11 22:53:39,2024-10-11 22:55:09,IP Address,172.56.222.197,100,90,True,2024-10-11 22:55:09,R_7DZP5AH1DYkcwG0,,,,,39.9233,-75.2313,anonymous,EN,666ef533b0ebc736668672c5,31,Male,,White or Caucasian,,"webull, coinbase, adobe, betfair casino","Amazon,Sony Playstation","It was uninteresting to me
 ",No,,666ef533b0ebc736668672c5,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",Philadelphia,PA,19140
2024-10-11 22:54:43,2024-10-11 22:55:49,IP Address,172.58.36.149,100,66,True,2024-10-11 22:55:50,R_1LoMD3AfDqrpBip,,,,,38.581,-121.4939,anonymous,EN,59f0acf65de9b000017ed914,35,Female,,White or Caucasian,,N/A,T-Mobile,"I liked that it showed so many different scenes from a tourist place. ",No,,59f0acf65de9b000017ed914,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",Sacramento,CA,94229
2024-10-11 22:54:34,2024-10-11 22:55:59,IP Address,165.225.61.77,100,85,True,2024-10-11 22:56:00,R_6R3ksDOvz8Lx9lj,,,,,41.8874,-87.6318,anonymous,EN,6101d3dd8a5037f20dfc505f,22,Female,,White or Caucasian,,yosemite,I do not recall any sponsored posts,"i feel like it was kind of negative, it shared peoples opinions on how yosemite isnt as clean and stuff",No,,6101d3dd8a5037f20dfc505f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Chicago,IL,60602
2024-10-11 22:55:38,2024-10-11 22:57:56,IP Address,24.192.144.238,100,138,True,2024-10-11 22:57:57,R_5nvco2W8sDSo2Dz,,,,,42.4723,-82.9967,anonymous,EN,5f4fe2d73a8bb611a36a94c4,25,Male,,"White or Caucasian,Black or African American",,n/a,I do not recall any sponsored posts,I thought that the image with the people's silhouettes between the tall trees was very nice and well done.,No,,5f4fe2d73a8bb611a36a94c4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",Warren,MI,48093
2024-10-11 22:57:11,2024-10-11 22:58:03,IP Address,172.56.194.238,100,51,True,2024-10-11 22:58:03,R_3JPVjC7BCTd2pGT,,,,,42.364,-71.0265,anonymous,EN,66699eddd7abf30f92a50167,32,Female,,White or Caucasian,,n/a,I do not recall any sponsored posts,"The feed was all about nature and Yosemite. The pictures were beautiful and made me feel happy. ",No,,66699eddd7abf30f92a50167,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",Boston,MA,02124
2024-10-11 22:58:16,2024-10-11 22:59:33,IP Address,174.195.37.217,100,76,True,2024-10-11 22:59:33,R_5p5SeO1bQ14Pwlq,,,,,33.8231,-84.3258,anonymous,EN,66bc15c01a61eab53ae6c6f4,30,Male,,White or Caucasian,,netflix,I do not recall any sponsored posts,Somehow it seems accurate in the modern day that after seeing something as beautiful as Yosemite that all the twitter feed had on it was complaints about it.,No,,66bc15c01a61eab53ae6c6f4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Atlanta,GA,30329
2024-10-11 22:56:35,2024-10-11 23:00:21,IP Address,65.28.248.240,100,225,True,2024-10-11 23:00:22,R_7lzxEVSTsCOyOmm,,,,,39.1256,-84.5127,anonymous,EN,6117fce606a21a8542f450a0,22,Female,,White or Caucasian,,None,I do not recall any sponsored posts,"I thought that there were a lot of mixed reviews about the current state of Yosemite National Park. I thought the comment about too many tourists was a bit unresonable and harsh. ",No,,6117fce606a21a8542f450a0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Cincinnati,OH,45220
2024-10-11 23:00:55,2024-10-11 23:01:51,IP Address,207.179.196.41,100,55,True,2024-10-11 23:01:51,R_6nwndkqsv8giv0k,,,,,40.7945,-89.4424,anonymous,EN,58503134ed99c80001cebc0a,35,Female,,White or Caucasian,,Yosemite,I do not recall any sponsored posts,I was looking at the pretty photos and it was nice!,No,,58503134ed99c80001cebc0a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Metamora,IL,61548
2024-10-11 23:00:02,2024-10-11 23:02:27,IP Address,172.114.7.137,100,144,True,2024-10-11 23:02:27,R_7C1OTXV1GH92nJL,,,,,33.8838,-118.1261,anonymous,EN,66c27d886c71bc59b3f67a74,21,Male,,Other,Latino,"I do not recall, I only analyzed the specific tweets talking about Yosemite Park.",I do not recall any sponsored posts,"The person tweeting seems to think that Yosemite Park's quality has gone down, and that it is no longer the park it used to be.",No,,66c27d886c71bc59b3f67a74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Bellflower,CA,90706
2024-10-11 23:00:04,2024-10-11 23:02:34,IP Address,172.58.50.209,100,149,True,2024-10-11 23:02:34,R_7m0tAbPPHMPr2AV,,,,,29.8284,-95.4696,anonymous,EN,670181df01d5807d3bca5093,32,Female,,"White or Caucasian,Asian",,Yosemite,I do not recall any sponsored posts,Pretty pictures and brings attention the issues affecting Yosemite,No,,670181df01d5807d3bca5093,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",Houston,TX,77093
2024-10-11 23:01:58,2024-10-11 23:02:54,IP Address,198.179.6.147,100,56,True,2024-10-11 23:02:55,R_541p0XSqTcpNWV4,,,,,39.264,-81.5332,anonymous,EN,5e35e5983db03759c2bbbc89,24,Female,,White or Caucasian,,n/a,I do not recall any sponsored posts,The only posts I recall seeing were about Yosemite National Park; I enjoy the outdoors so I found the posts interesting,No,,5e35e5983db03759c2bbbc89,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0,Parkersburg,WV,26101
2024-10-11 22:58:05,2024-10-11 23:03:19,IP Address,104.51.31.141,100,313,True,2024-10-11 23:03:19,R_5H4UGUt5I0tRwTn,,,,,41.8209,-87.8515,anonymous,EN,6365b5599c1775edb6d46be4,26,Female,,White or Caucasian,,"wildlife, nature conservatort",I do not recall any sponsored posts,It was very nature focused and I liked seeing the mountains and the animals.,No,,6365b5599c1775edb6d46be4,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Brookfield,IL,60513
