participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.tweets,participant.finished,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.topics,session.config.show_cta,session.config.briefing,session.config.condition_col,session.config.search_term,session.config.full_name,session.config.dwell_threshold,session.config.participation_fee,session.config.survey_link,session.config.cta_text,session.config.study_name,session.config.delimiter,session.config.copy_text,session.config.eMail,session.config.real_world_currency_per_point,session.config.channel_type,session.config.sort_by,session.config.name,session.config.data_path,session.config.url_param,session.config.title,session.prolific_completion_url,session.completion_code,DICE.1.player.id_in_group,DICE.1.player.role,DICE.1.player.payoff,DICE.1.player.feed_condition,DICE.1.player.sequence,DICE.1.player.scroll_sequence,DICE.1.player.viewport_data,DICE.1.player.rowheight_data,DICE.1.player.likes_data,DICE.1.player.replies_data,DICE.1.player.promoted_post_clicks,DICE.1.player.touch_capability,DICE.1.player.device_type,DICE.1.player.screen_resolution,DICE.1.group.id_in_subsession,DICE.1.subsession.round_number,DICE.1.subsession.feed_conditions,DICE.1.subsession.FEED
1,0kq3phv2,60e3ba0917afa9b2df09f43e,0,4,5,DICE,D_Redirect,2024-10-11 20:44:43.865212,1,,,0.0,   doc_id            datetime  ... color_class sequence 2       2 2022-03-22 08:30:00  ...          p7      1.0 1       1 2022-03-22 06:00:00  ...          p7      2.0 0       0 2022-03-01 06:00:00  ...          p3      3.0 4       4 2022-03-24 06:00:00  ...          p3      4.0 3       3 2022-03-22 06:00:00  ...          p2      5.0  [5 rows x 25 columns],1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,1,,0.0,A,"2, 1, 0, 4, 3",is-i2-i1-i1-i3,"[{""doc_id"":2,""duration"":3.596},{""doc_id"":1,""duration"":0.841},{""doc_id"":0,""duration"":1.094},{""doc_id"":4,""duration"":0.222},{""doc_id"":3,""duration"":2.543}]","[{""doc_id"":2,""height"":569},{""doc_id"":1,""height"":666},{""doc_id"":0,""height"":687},{""doc_id"":4,""height"":390},{""doc_id"":3,""height"":397},{""doc_id"":null,""height"":319},{""doc_id"":null,""height"":319}]","[{""doc_id"":2,""liked"":false},{""doc_id"":1,""liked"":false},{""doc_id"":0,""liked"":false},{""doc_id"":4,""liked"":false},{""doc_id"":3,""liked"":false}]","[{""doc_id"":2,""reply"":"""",""hasReply"":false},{""doc_id"":1,""reply"":"""",""hasReply"":false},{""doc_id"":0,""reply"":"""",""hasReply"":false},{""doc_id"":4,""reply"":"""",""hasReply"":false},{""doc_id"":3,""reply"":"""",""hasReply"":false}]",[],1,Mobile,384x857,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
2,3s1ee34i,65c255d5f1d935efdc73ee21,0,4,5,DICE,D_Redirect,2024-10-11 20:46:38.306670,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,2,,0.0,B,"6, 7, 9, 5, 8",is-i6-i6-i7-i9-i9-i5-i5-i8-i8-i8-i8-i8-i8-i8-i8-i5-i5-i5-i5-i5-i5-i5-i8-i8-i8-i9-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i7-i7,"[{""doc_id"":6,""duration"":9.567},{""doc_id"":7,""duration"":8.45},{""doc_id"":9,""duration"":11.9},{""doc_id"":5,""duration"":12.533},{""doc_id"":8,""duration"":14.234},{""doc_id"":5,""duration"":0.266},{""doc_id"":9,""duration"":1.034},{""doc_id"":7,""duration"":1.97},{""doc_id"":6,""duration"":14.547},{""doc_id"":7,""duration"":0.201},{""doc_id"":9,""duration"":0.199},{""doc_id"":5,""duration"":0.233},{""doc_id"":8,""duration"":1.041}]","[{""doc_id"":6,""height"":493},{""doc_id"":7,""height"":493},{""doc_id"":9,""height"":918},{""doc_id"":5,""height"":493},{""doc_id"":8,""height"":517},{""doc_id"":null,""height"":297},{""doc_id"":null,""height"":297}]","[{""doc_id"":6,""liked"":false},{""doc_id"":7,""liked"":false},{""doc_id"":9,""liked"":false},{""doc_id"":5,""liked"":false},{""doc_id"":8,""liked"":false}]","[{""doc_id"":6,""reply"":"""",""hasReply"":false},{""doc_id"":7,""reply"":"""",""hasReply"":false},{""doc_id"":9,""reply"":"""",""hasReply"":false},{""doc_id"":5,""reply"":"""",""hasReply"":false},{""doc_id"":8,""reply"":"""",""hasReply"":false}]","[{""doc_id"":7,""clicked"":false}]",0,Desktop,1440x900,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
3,f3v2u0sz,66b538eb84276a7bcdf599ed,0,4,5,DICE,D_Redirect,2024-10-11 20:47:43.664810,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,3,,0.0,A,"0, 3, 1, 2, 4",is-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i0-i3-i3-i3-i3-i3-i3-i3-i1-i1-i2-i2-i2-i2-i2-i2-i4-i4-i4-i4-i4-i4-i4-i4-i4-i2-i2-i2-i2-i4-i4-i4-i4-i4-i4-i4-i4-i4-i2-i2-i2-i2-i2-i4-i4-i4-i4-i4-i2-i2-i2-i2-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4,"[{""doc_id"":0,""duration"":4.656},{""doc_id"":3,""duration"":1.318},{""doc_id"":0,""duration"":7.602},{""doc_id"":3,""duration"":4.721},{""doc_id"":1,""duration"":2.302},{""doc_id"":2,""duration"":3.753},{""doc_id"":4,""duration"":37.978}]","[{""doc_id"":0,""height"":169},{""doc_id"":3,""height"":493},{""doc_id"":1,""height"":917},{""doc_id"":2,""height"":790},{""doc_id"":4,""height"":481},{""doc_id"":null,""height"":298}]",,,,0,Desktop,1920x1080,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
4,9vlqut4x,66044fe2dafd8b584f047af4,0,4,5,DICE,D_Redirect,2024-10-11 20:50:00.622835,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,4,,0.0,B,"8, 5, 6, 7, 9",is-i8-i8-i8-i8-i8-i8-i8-i8-i8-i8-i8-i8-i8-i8-i8-i5-i5-i5-i5-i5-i5-i5-i6-i6-i6-i6-i6-i5-i5-i5-i5-i5-i6-i6-i6-i6-i6-i5-i5-i6-i6-i7-i7-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i6-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i6-i6-i6-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i6-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i7-i9,"[{""doc_id"":8,""duration"":9.915},{""doc_id"":5,""duration"":8.089},{""doc_id"":6,""duration"":7.826},{""doc_id"":7,""duration"":13.149},{""doc_id"":9,""duration"":5.944}]","[{""doc_id"":8,""height"":192},{""doc_id"":5,""height"":482},{""doc_id"":6,""height"":482},{""doc_id"":7,""height"":482},{""doc_id"":9,""height"":894},{""doc_id"":null,""height"":297}]","[{""doc_id"":8,""liked"":false},{""doc_id"":5,""liked"":false},{""doc_id"":6,""liked"":true},{""doc_id"":7,""liked"":false},{""doc_id"":9,""liked"":false}]","[{""doc_id"":8,""reply"":"""",""hasReply"":false},{""doc_id"":5,""reply"":"""",""hasReply"":false},{""doc_id"":6,""reply"":"""",""hasReply"":false},{""doc_id"":7,""reply"":"""",""hasReply"":false},{""doc_id"":9,""reply"":"""",""hasReply"":false}]","[{""doc_id"":7,""clicked"":false}]",0,Desktop,1596x898,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
5,x9l83x3c,6663a12568669787edea27ea,0,4,5,DICE,D_Redirect,2024-10-11 20:50:31.692012,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,5,,0.0,A,"0, 1, 3, 4, 2",is-i0-i1-i3-i1-i4-i2-i2-i2,"[{""doc_id"":0,""duration"":13.382},{""doc_id"":1,""duration"":5.816},{""doc_id"":3,""duration"":3.266},{""doc_id"":1,""duration"":1.066},{""doc_id"":0,""duration"":3.316},{""doc_id"":1,""duration"":3.05},{""doc_id"":3,""duration"":5.717},{""doc_id"":4,""duration"":7.866},{""doc_id"":2,""duration"":11.228}]","[{""doc_id"":0,""height"":712},{""doc_id"":1,""height"":686},{""doc_id"":3,""height"":417},{""doc_id"":4,""height"":409},{""doc_id"":2,""height"":606},{""doc_id"":null,""height"":321}]","[{""doc_id"":0,""liked"":false},{""doc_id"":1,""liked"":false},{""doc_id"":3,""liked"":false},{""doc_id"":4,""liked"":false},{""doc_id"":2,""liked"":false}]","[{""doc_id"":0,""reply"":"""",""hasReply"":false},{""doc_id"":1,""reply"":"""",""hasReply"":false},{""doc_id"":3,""reply"":"""",""hasReply"":false},{""doc_id"":4,""reply"":"""",""hasReply"":false},{""doc_id"":2,""reply"":"""",""hasReply"":false}]",[],1,Mobile,414x896,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
6,m8azb9cx,66fb1dd026c89f58ed2d2186,0,4,5,DICE,D_Redirect,2024-10-11 20:51:12.212199,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,6,,0.0,B,"7, 5, 6, 8, 9",is-i5-i6-i6-i9-i8-i6-i5-i5,"[{""doc_id"":7,""duration"":2.739},{""doc_id"":5,""duration"":3.353},{""doc_id"":6,""duration"":3.073},{""doc_id"":8,""duration"":0.425},{""doc_id"":9,""duration"":0.405},{""doc_id"":9,""duration"":8.097},{""doc_id"":8,""duration"":7.823},{""doc_id"":6,""duration"":3.3},{""doc_id"":7,""duration"":6.038},{""doc_id"":5,""duration"":9.293},{""doc_id"":6,""duration"":0.275},{""doc_id"":8,""duration"":0.325},{""doc_id"":9,""duration"":0.228},{""doc_id"":9,""duration"":2.101}]","[{""doc_id"":7,""height"":426},{""doc_id"":5,""height"":403},{""doc_id"":6,""height"":403},{""doc_id"":8,""height"":403},{""doc_id"":9,""height"":657},{""doc_id"":null,""height"":320},{""doc_id"":null,""height"":320},{""doc_id"":null,""height"":320}]","[{""doc_id"":7,""liked"":false},{""doc_id"":5,""liked"":false},{""doc_id"":6,""liked"":false},{""doc_id"":8,""liked"":false},{""doc_id"":9,""liked"":false}]","[{""doc_id"":7,""reply"":"""",""hasReply"":false},{""doc_id"":5,""reply"":"""",""hasReply"":false},{""doc_id"":6,""reply"":"""",""hasReply"":false},{""doc_id"":8,""reply"":"""",""hasReply"":false},{""doc_id"":9,""reply"":"""",""hasReply"":false}]","[{""doc_id"":7,""clicked"":false}]",1,Mobile,393x852,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
7,kda87d36,67018d1a7f44e4480045a212,0,4,5,DICE,D_Redirect,2024-10-11 20:51:52.456546,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,7,,0.0,A,"2, 4, 3, 1, 0",is-i2-i2-i4-i4-i4-i4-i2-i2-i2-i4-i4-i4-i3-i3-i3-i1-i0-i0,"[{""doc_id"":2,""duration"":7.267},{""doc_id"":3,""duration"":5.701},{""doc_id"":4,""duration"":6.789},{""doc_id"":2,""duration"":3.025},{""doc_id"":4,""duration"":2.612},{""doc_id"":3,""duration"":2.404},{""doc_id"":1,""duration"":1.137},{""doc_id"":0,""duration"":0.166},{""doc_id"":0,""duration"":3.138}]","[{""doc_id"":2,""height"":623},{""doc_id"":4,""height"":419},{""doc_id"":3,""height"":403},{""doc_id"":1,""height"":708},{""doc_id"":0,""height"":736},{""doc_id"":null,""height"":320}]","[{""doc_id"":2,""liked"":true},{""doc_id"":4,""liked"":true},{""doc_id"":3,""liked"":true},{""doc_id"":1,""liked"":false},{""doc_id"":0,""liked"":true}]","[{""doc_id"":2,""reply"":"""",""hasReply"":false},{""doc_id"":4,""reply"":"""",""hasReply"":false},{""doc_id"":3,""reply"":"""",""hasReply"":false},{""doc_id"":1,""reply"":"""",""hasReply"":false},{""doc_id"":0,""reply"":"""",""hasReply"":false}]",[],1,Mobile,428x926,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
8,uuot4fro,67094406b9fd7d16c603ff6e,0,4,5,DICE,D_Redirect,2024-10-11 20:51:57.560691,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,8,,0.0,B,"8, 5, 7, 6, 9",is-i8-i5-i8-i8-i8-i8-i8-i8-i8-i8-i5-i5-i7-i6-i6-i6-i6-i6-i6-i6-i6-i6-i9-i9-i9-i9-i9-i9-i9-i9-i9-i9-i9-i9-i9-i9,"[{""doc_id"":8,""duration"":0.108},{""doc_id"":5,""duration"":0.482},{""doc_id"":8,""duration"":4.596},{""doc_id"":5,""duration"":1.181},{""doc_id"":7,""duration"":2.064},{""doc_id"":6,""duration"":9.042},{""doc_id"":9,""duration"":6.444}]","[{""doc_id"":8,""height"":507},{""doc_id"":5,""height"":484},{""doc_id"":7,""height"":484},{""doc_id"":6,""height"":484},{""doc_id"":9,""height"":898},{""doc_id"":null,""height"":297}]","[{""doc_id"":8,""liked"":false},{""doc_id"":5,""liked"":false},{""doc_id"":7,""liked"":false},{""doc_id"":6,""liked"":true},{""doc_id"":9,""liked"":true}]","[{""doc_id"":8,""reply"":"""",""hasReply"":false},{""doc_id"":5,""reply"":"""",""hasReply"":false},{""doc_id"":7,""reply"":"""",""hasReply"":false},{""doc_id"":6,""reply"":"""",""hasReply"":false},{""doc_id"":9,""reply"":"""",""hasReply"":false}]","[{""doc_id"":7,""clicked"":false}]",1,Desktop,1536x864,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
9,iefdcz7n,670988e05d86d2feca7516a5,0,4,5,DICE,D_Redirect,2024-10-11 20:52:04.710590,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,9,,0.0,A,"4, 3, 1, 0, 2",is-i4-i4-i4-i4-i3-i3-i3-i3-i3-i4-i4-i3-i1-i1-i0-i2-i2-i2-i2-i2,"[{""doc_id"":4,""duration"":3.754},{""doc_id"":3,""duration"":2.546},{""doc_id"":4,""duration"":1.986},{""doc_id"":3,""duration"":0.167},{""doc_id"":1,""duration"":0.299},{""doc_id"":0,""duration"":0.1},{""doc_id"":2,""duration"":0.75},{""doc_id"":2,""duration"":0.149},{""doc_id"":0,""duration"":0.183},{""doc_id"":1,""duration"":0.084},{""doc_id"":3,""duration"":0.1},{""doc_id"":3,""duration"":0.843},{""doc_id"":4,""duration"":12.306},{""doc_id"":3,""duration"":6.168},{""doc_id"":1,""duration"":4.872},{""doc_id"":0,""duration"":5.419},{""doc_id"":2,""duration"":10.621}]","[{""doc_id"":4,""height"":481},{""doc_id"":3,""height"":493},{""doc_id"":1,""height"":917},{""doc_id"":0,""height"":995},{""doc_id"":2,""height"":814},{""doc_id"":null,""height"":297},{""doc_id"":null,""height"":297}]","[{""doc_id"":4,""liked"":false},{""doc_id"":3,""liked"":false},{""doc_id"":1,""liked"":false},{""doc_id"":0,""liked"":false},{""doc_id"":2,""liked"":false}]","[{""doc_id"":4,""reply"":"""",""hasReply"":false},{""doc_id"":3,""reply"":"""",""hasReply"":false},{""doc_id"":1,""reply"":"""",""hasReply"":false},{""doc_id"":0,""reply"":"""",""hasReply"":false},{""doc_id"":2,""reply"":"""",""hasReply"":false}]",[],0,Desktop,1280x800,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
10,v83rq75j,666ef533b0ebc736668672c5,0,4,5,DICE,D_Redirect,2024-10-11 20:53:12.459061,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,10,,0.0,B,"8, 7, 9, 5, 6",is-i7-i7-i7-i9,"[{""doc_id"":8,""duration"":4.312},{""doc_id"":7,""duration"":4.605},{""doc_id"":9,""duration"":0.326},{""doc_id"":5,""duration"":0.227},{""doc_id"":6,""duration"":5.139}]","[{""doc_id"":8,""height"":415},{""doc_id"":7,""height"":392},{""doc_id"":9,""height"":685},{""doc_id"":5,""height"":416},{""doc_id"":6,""height"":392},{""doc_id"":null,""height"":320}]","[{""doc_id"":8,""liked"":false},{""doc_id"":7,""liked"":false},{""doc_id"":9,""liked"":false},{""doc_id"":5,""liked"":false},{""doc_id"":6,""liked"":false}]","[{""doc_id"":8,""reply"":"""",""hasReply"":false},{""doc_id"":7,""reply"":"""",""hasReply"":false},{""doc_id"":9,""reply"":"""",""hasReply"":false},{""doc_id"":5,""reply"":"""",""hasReply"":false},{""doc_id"":6,""reply"":"""",""hasReply"":false}]","[{""doc_id"":7,""clicked"":false}]",1,Mobile,412x915,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
11,4xiysiex,5f4fe2d73a8bb611a36a94c4,0,4,5,DICE,D_Redirect,2024-10-11 20:53:35.950339,1,,,0.0,,1,ixmixo92,,,,,0,1,0,"<h5>Instructions</h5>  <p>Welcome to our study covering a typical social media feed that contains memes.</p>  <p>Please interact with the feed as you normally would on social media. Feel free to like, comment, or simply read through the posts according to your preference.</p>  <p>Once you reach the end of the feed, you'll find a button to proceed with the study. Click this button to move on to a series of short questions about your experience with the feed.</p>",condition,@9GAG,Hauke Roggenkamp,50,0.0,https://unisg.qualtrics.com/jfe/form/SV_2f5A6rQsIf7oSAm,,Social Media Study,;,,hauke.roggenkamp@unisg.ch,1.0,Twitter,sequence,Twitter,https://raw.githubusercontent.com/Howquez/DICE/main/software/DICE/DICE/static/data/sample_tweets.csv,PROLIFIC_PID,Mr.,https://app.prolific.com/submissions/complete,,11,,0.0,A,"2, 3, 4, 1, 0",is-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i3-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i2-i3-i3-i3-i3-i4-i1-i3-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i4-i1-i0-i3-i2-i3-i4-i4-i4-i4-i4-i4-i1-i1-i1-i1-i1-i1-i1-i1-i0-i0-i0-i0-i0,"[{""doc_id"":2,""duration"":21.473},{""doc_id"":4,""duration"":0.849},{""doc_id"":2,""duration"":0.897},{""doc_id"":3,""duration"":38.176},{""doc_id"":4,""duration"":15.667},{""doc_id"":0,""duration"":0.876},{""doc_id"":1,""duration"":1.841},{""doc_id"":3,""duration"":5.862},{""doc_id"":4,""duration"":23.761},{""doc_id"":1,""duration"":22.69},{""doc_id"":0,""duration"":6.731},{""doc_id"":1,""duration"":0.709},{""doc_id"":4,""duration"":2.461},{""doc_id"":2,""duration"":8.435},{""doc_id"":3,""duration"":9.951},{""doc_id"":4,""duration"":4.2},{""doc_id"":1,""duration"":3.407},{""doc_id"":0,""duration"":2.452}]","[{""doc_id"":2,""height"":795},{""doc_id"":3,""height"":483},{""doc_id"":4,""height"":471},{""doc_id"":1,""height"":895},{""doc_id"":0,""height"":970},{""doc_id"":null,""height"":297},{""doc_id"":null,""height"":297}]","[{""doc_id"":2,""liked"":false},{""doc_id"":3,""liked"":false},{""doc_id"":4,""liked"":false},{""doc_id"":1,""liked"":false},{""doc_id"":0,""liked"":false}]","[{""doc_id"":2,""reply"":"""",""hasReply"":false},{""doc_id"":3,""reply"":"""",""hasReply"":false},{""doc_id"":4,""reply"":"""",""hasReply"":false},{""doc_id"":1,""reply"":"""",""hasReply"":false},{""doc_id"":0,""reply"":"""",""hasReply"":false}]",[],0,Desktop,2560x1440,1,1,<itertools.cycle object at 0x7f7017257900>,DICE/T_Feed_Twitter.html
